Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,130,124.51063509981032,26.949699997203425,326.9031000090763,100.39,97.8353366352971,48.91766831764855,130,150,160,170,200,210,250,320,330,330,330
POST,/queue/join,1000,0,470,481.9295966003556,116.16219999268651,1195.1622999913525,173.588,97.8353366352971,0.0,480,580,610,640,760,870,1000,1100,1200,1200,1200
,Aggregated,2000,500,200,303.22011585008295,26.949699997203425,1195.1622999913525,136.989,195.6706732705942,48.91766831764855,200,360,480,540,640,760,920,1000,1100,1200,1200
