Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776771138,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776771139,100,,Aggregated,0.000000,0.000000,320,420,500,510,700,700,710,710,710,710,710,109,0,320,373.1148293567074,106.68649998842739,710.7123000023421,160.8256880733945
1776771140,200,,Aggregated,0.000000,0.000000,400,500,680,700,1000,1200,1300,1300,1300,1300,1300,314,0,400,460.2692942670769,99.03680000570603,1283.0690999981016,159.98089171974522
1776771141,300,,Aggregated,62.000000,0.000000,320,500,680,700,930,1100,1300,1300,1300,1300,1300,583,0,320,424.9357706683949,56.70099999406375,1283.0690999981016,159.4579759862779
1776771142,400,,Aggregated,114.500000,0.000000,240,450,590,670,840,1100,1200,1300,1300,1300,1300,800,0,240,387.2553076247641,38.030600000638515,1283.0690999981016,159.28375
1776771143,500,,Aggregated,152.666667,0.000000,240,450,580,660,800,1000,1100,1300,1300,1300,1300,999,0,240,377.65232042030283,38.030600000638515,1283.0690999981016,159.23223223223223
1776771144,600,,Aggregated,171.750000,0.000000,230,440,560,650,790,930,1100,1300,1300,1300,1300,1200,100,230,366.9919496665049,32.08599999197759,1283.0690999981016,151.68083333333334
1776771145,700,,Aggregated,169.400000,0.000000,240,430,560,660,790,930,1100,1300,1300,1300,1300,1370,177,240,370.2050066421133,32.08599999197759,1283.0690999981016,147.6941605839416
1776771146,800,,Aggregated,178.666667,3.833333,250,440,560,660,800,950,1100,1200,1300,1300,1300,1551,267,250,374.42342669237405,32.08599999197759,1283.0690999981016,143.8001289490651
1776771147,1000,,Aggregated,180.428571,16.714286,250,450,560,660,810,980,1100,1100,1300,1300,1300,1799,399,250,374.02194530272214,30.205999995814636,1283.0690999981016,139.22901612006672
1776771148,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771149,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771150,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771151,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771152,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771153,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
1776771154,1000,,Aggregated,177.750000,25.000000,240,430,560,650,800,950,1100,1100,1300,1300,1300,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145
