Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,44,98.76836339986767,23.8969000056386,418.6638999963179,100.39,6.7205017928867825,3.3602508964433913,45,99,140,170,260,300,340,360,420,420,420
POST,/queue/join,1000,0,1300,1946.926345499931,202.45899999281392,5636.732100014342,126.711,6.7205017928867825,0.0,1300,2300,3000,3600,4400,5100,5300,5400,5600,5600,5600
GET,/queue/position [poll],12019,145,790,2431.047977452455,24.55459997872822,59518.853399989894,129.20575755054497,80.77371104870623,0.9744727599685834,790,880,990,1100,1800,3200,45000,59000,60000,60000,60000
ADMISSION,time_to_admit_ms,994,0,21000,38272.939318142664,1547.792673110962,140773.67663383484,0.0,6.680178782129461,0.0,21000,30000,49000,72000,112000,126000,135000,139000,141000,141000,141000
,Aggregated,15013,645,800,4616.516487852834,23.8969000056386,140773.67663383484,118.56557650036635,100.89489341660926,4.334723656411975,800,940,1100,1500,4800,25000,59000,90000,136000,141000,141000
