Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,210,236.7166785011359,35.60010000364855,823.3768999925815,100.39,60.98884425632367,30.494422128161833,210,260,290,320,380,410,430,790,820,820,820
POST,/queue/join,1000,0,1200,1599.4020973998122,310.7235000061337,5265.001500025392,173.62,60.98884425632367,0.0,1200,1400,1700,2300,4000,4500,5100,5200,5300,5300,5300
,Aggregated,2000,500,410,918.059387950474,35.60010000364855,5265.001500025392,137.005,121.97768851264733,30.494422128161833,420,850,1200,1300,2300,4000,4700,5100,5300,5300,5300
