Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,130,118.54129729935084,27.779300027759746,301.53639998752624,100.39,98.75924850177138,49.37962425088569,130,140,150,150,170,210,280,280,300,300,300
POST,/queue/join,1000,0,460,473.1548488995759,142.95179999317043,1363.49639997934,173.444,98.75924850177138,0.0,460,540,590,620,730,950,1100,1200,1400,1400,1400
,Aggregated,2000,500,200,295.84807309946336,27.779300027759746,1363.49639997934,136.917,197.51849700354276,49.37962425088569,200,330,460,520,620,730,960,1100,1300,1400,1400
