Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,150,152.27849539928138,30.205999995814636,452.3619999818038,100.39,95.60877736201131,47.804388681005655,150,170,180,190,240,270,380,440,450,450,450
POST,/queue/join,1000,0,560,584.3312769001059,150.250499980757,1283.0690999981016,173.039,95.60877736201131,0.0,560,690,740,800,950,1100,1100,1300,1300,1300,1300
,Aggregated,2000,500,240,368.30488614969363,30.205999995814636,1283.0690999981016,136.7145,191.21755472402262,47.804388681005655,240,430,560,650,800,950,1100,1100,1300,1300,1300
