Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,120,118.79132310071145,29.31499999249354,237.8616000059992,100.39,100.17738519241465,50.08869259620732,120,140,150,160,190,210,220,230,240,240,240
POST,/queue/join,1000,0,450,457.4603571999178,143.32249999279156,924.7368999931496,173.406,100.17738519241465,0.0,450,540,600,630,710,810,880,900,920,920,920
,Aggregated,2000,500,210,288.1258401503146,29.31499999249354,924.7368999931496,136.898,200.3547703848293,50.08869259620732,210,340,450,510,630,710,850,880,920,920,920
