Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,120,114.43865390028805,25.641399988671765,267.29300001170486,100.39,96.03460548745558,48.01730274372779,120,140,150,160,190,210,230,240,270,270,270
POST,/queue/join,1000,0,450,447.1862338006322,135.32120001036674,821.4302999840584,173.564,96.03460548745558,0.0,450,550,590,620,680,720,740,760,820,820,820
,Aggregated,2000,500,190,280.8124438504601,25.641399988671765,821.4302999840584,136.977,192.06921097491116,48.01730274372779,190,340,450,510,620,680,720,740,810,820,820
