Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,120,118.37797529992531,30.450699996436015,332.7731000026688,100.39,97.68748967356903,48.843744836784516,120,140,150,150,200,220,300,310,330,330,330
POST,/queue/join,1000,0,430,469.26487059963983,151.28160000313073,1292.6773999934085,170.279,97.68748967356903,0.0,440,510,560,600,750,870,1200,1300,1300,1300,1300
GET,/queue/position [poll],59,0,140,366.0597610164047,38.617199985310435,1047.4910000048112,172.01694915254237,5.763561890740573,0.0,140,180,1000,1000,1000,1000,1000,1000,1000,1000,1000
ADMISSION,time_to_admit_ms,59,0,1200,1296.9040789846647,929.0647506713867,1906.3029289245605,0.0,5.763561890740573,0.0,1200,1200,1800,1800,1900,1900,1900,1900,1900,1900,1900
,Aggregated,2118,500,220,323.77606820567905,30.450699996436015,1906.3029289245605,132.58640226628896,206.9021031286192,48.843744836784516,220,340,460,510,680,990,1200,1300,1900,1900,1900
