Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,46,92.75016209972091,23.443400001269765,771.8185999983689,100.39,7.021380625161888,3.510690312580944,46,97,130,150,200,260,380,640,770,770,770
POST,/queue/join,1000,0,810,1436.6350851998732,150.6869999866467,4921.203099991544,126.585,7.021380625161888,0.0,810,1300,2100,2700,3800,4200,4600,4800,4900,4900,4900
GET,/queue/position [poll],16271,92,540,1333.233200577685,23.416900003212504,59520.9773999959,129.00497818204167,114.24488415200908,0.6459670175148937,540,630,680,740,950,1200,3500,41000,60000,60000,60000
ADMISSION,time_to_admit_ms,995,0,21000,32444.912990972625,720.1900482177734,133784.96980667114,0.0,6.986273722036079,0.0,21000,27000,32000,47000,91000,116000,131000,132000,134000,134000,134000
,Aggregated,19266,592,540,2880.987806494179,23.416900003212504,133784.96980667114,120.7315997093325,135.27391912436894,4.156657330095838,540,650,740,840,1400,14000,40000,60000,131000,133000,134000
