Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/purchase,1000,500,53,104.46640199991816,25.151699999696575,957.5605999998515,100.39,6.569427742790166,3.284713871395083,53,120,160,190,250,280,320,330,960,960,960
POST,/queue/join,1000,0,750,1069.6640082000379,148.1830999982776,4628.105299998424,126.597,6.569427742790166,0.0,750,1100,1300,1700,2400,2700,4500,4600,4600,4600,4600
GET,/queue/position [poll],15019,108,610,1575.814493088778,24.635800000396557,59531.52350000164,129.05133497569744,98.66623526896551,0.7094981962213379,610,700,780,860,1100,1500,17000,49000,60000,60000,60000
ADMISSION,time_to_admit_ms,995,0,21000,33599.57575127108,721.5938568115234,142334.60807800293,0.0,6.5365806040762156,0.0,21000,27000,31000,52000,100000,120000,133000,139000,142000,142000,142000
,Aggregated,18014,608,610,3234.8654465646255,24.635800000396557,142334.60807800293,120.19590318641058,118.34167135862205,3.994212067616421,610,730,850,950,1600,17000,48000,61000,134000,142000,142000
