Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776759910,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776759911,100,,Aggregated,0.000000,0.000000,330,380,400,430,430,450,490,720,730,730,730,109,0,330,323.44368159575515,31.80729999439791,734.595537185669,125.95412844036697
1776759912,200,,Aggregated,0.000000,0.000000,210,300,350,380,450,1000,1600,1600,1700,1700,1700,501,0,210,268.8427937933383,26.781200009281747,1705.7771682739258,122.24550898203593
1776759913,300,,Aggregated,0.000000,0.000000,160,290,350,420,670,1000,2400,3000,3000,3000,3000,904,0,160,320.16906355927426,26.781200009281747,3002.9613971710205,121.81858407079646
1776759915,400,,Aggregated,167.000000,0.000000,170,260,330,400,660,770,2400,3700,3900,3900,3900,1468,0,170,327.948446770871,26.781200009281747,3918.9913272857666,122.90054495912807
1776759916,500,,Aggregated,226.000000,0.000000,170,240,300,370,660,860,3000,4300,5200,5200,5200,2054,0,170,347.0187213898297,26.781200009281747,5232.9840660095215,123.2809152872444
1776759917,600,,Aggregated,253.600000,0.000000,220,270,320,360,660,900,3700,4500,5200,5500,5500,2577,0,220,366.13283386297525,26.781200009281747,5538.450002670288,123.68218859138533
1776759918,700,,Aggregated,303.166667,0.000000,250,330,390,420,710,1000,3900,4600,5800,5900,5900,3194,0,250,417.9458313806697,26.781200009281747,5856.232643127441,123.91546649968691
1776759919,800,,Aggregated,341.285714,0.000000,290,400,460,520,740,1200,4300,5600,7000,7000,7000,3796,0,290,481.96358379649894,26.781200009281747,7015.268087387085,124.02897787144363
1776759920,900,,Aggregated,358.625000,0.000000,330,450,530,580,780,1500,4600,6800,8300,8300,8300,4321,0,330,551.721936425138,26.781200009281747,8295.083999633789,123.96852580421199
1776759921,1000,,Aggregated,370.000000,0.000000,390,530,590,620,860,1600,5200,7000,9500,9500,9500,4958,0,390,612.3143991993911,26.781200009281747,9526.817560195923,124.02440500201695
1776759922,1000,,Aggregated,392.900000,0.000000,440,570,610,660,860,1800,4600,7000,9500,9700,9700,5677,0,440,642.2492381711985,26.781200009281747,9719.473600387573,124.40267747049498
1776759924,1000,,Aggregated,460.600000,0.000000,480,590,640,700,1000,2000,5200,8200,10000,11000,11000,6294,0,480,693.1263896463221,26.781200009281747,10924.250364303589,124.44057832856689
1776759925,1000,,Aggregated,534.700000,0.000000,540,620,710,790,1500,2100,5600,8600,12000,12000,12000,7079,0,540,795.5453052680292,26.781200009281747,12364.72225189209,124.51363186890804
1776759926,1000,,Aggregated,539.000000,0.000000,560,670,760,910,1500,2200,7000,9900,13000,13000,13000,7770,0,560,865.9339186252842,26.781200009281747,13472.882747650146,124.38378378378378
1776759927,1000,,Aggregated,531.900000,0.000000,580,700,810,940,1500,2200,8200,12000,13000,14000,14000,8249,0,580,907.9774221802187,26.781200009281747,13599.77650642395,124.27057825190933
1776759929,1000,,Aggregated,534.900000,0.000000,600,730,820,920,1400,2000,8100,12000,14000,15000,15000,8799,0,600,902.4284951470252,26.781200009281747,14588.7291431427,124.46925787021253
1776759930,1000,,Aggregated,543.100000,0.000000,610,750,840,920,1300,2100,8500,13000,15000,16000,16000,9435,0,610,954.1764206514456,26.781200009281747,15764.439105987549,124.37562268150504
1776759931,1000,,Aggregated,546.900000,0.000000,600,740,810,910,1300,1900,8500,13000,16000,17000,17000,10133,0,600,948.7150011012171,26.781200009281747,16843.56999397278,124.46896279482878
1776759932,1000,,Aggregated,537.900000,0.000000,590,720,800,900,1300,1900,9400,13000,17000,17000,17000,10760,0,590,959.4398630366466,25.440299999900162,17049.839735031128,124.47602230483271
1776759933,1000,,Aggregated,536.000000,0.000000,590,700,780,870,1300,1800,9700,14000,17000,18000,18000,11468,0,590,973.6640755998982,25.440299999900162,17994.01092529297,124.47654342518312
1776759934,1000,,Aggregated,542.600000,0.000000,570,690,770,840,1200,1800,9800,15000,19000,19000,19000,12052,0,570,970.8267458057588,25.440299999900162,19006.84642791748,124.5204945237305
1776759935,1000,,Aggregated,536.100000,0.000000,570,690,760,830,1200,1800,9900,15000,19000,20000,20000,12584,0,570,979.8305044692225,25.440299999900162,19717.503547668457,124.53170692943421
1776759936,1000,,Aggregated,555.500000,0.000000,570,680,750,820,1100,1800,12000,15000,21000,21000,21000,13116,0,570,999.5115743212235,25.440299999900162,20858.673334121704,124.51585849344312
1776759937,1000,,Aggregated,572.000000,0.000000,570,670,750,810,1100,1700,12000,16000,21000,21000,21000,13630,18,570,1007.739242696476,25.440299999900162,20858.673334121704,124.40748349229641
1776759938,1000,,Aggregated,573.900000,0.000000,570,670,750,800,1100,1800,13000,17000,22000,22000,22000,14086,47,570,1036.748840559099,25.440299999900162,21936.31076812744,124.176487292347
1776759939,1000,,Aggregated,556.300000,1.800000,580,660,740,790,1100,1700,13000,17000,22000,23000,23000,14552,58,580,1039.3832854838145,25.440299999900162,23027.57477760315,124.15131940626718
1776759940,1000,,Aggregated,557.700000,1.800000,590,660,740,780,1100,1700,13000,18000,24000,24000,24000,15002,83,590,1064.353139705334,25.440299999900162,23836.920261383057,123.98186908412212
1776759941,1000,,Aggregated,553.400000,4.700000,590,670,740,780,1100,1700,13000,19000,24000,25000,25000,15332,95,590,1077.3372579057302,25.440299999900162,25017.285346984863,123.92186277067572
1776759942,1000,,Aggregated,548.900000,7.500000,600,680,750,810,1000,1700,13000,19000,25000,25000,25000,15666,118,600,1103.912767718498,25.440299999900162,25166.96858406067,123.76809651474531
